date,county,fips,confirmed,deaths
4/6/2020,Otsego,0500000US36077,34,2
4/6/2020,Putnam,0500000US36079,345,12
4/6/2020,Rensselaer,0500000US36083,78,1
4/6/2020,Rockland,0500000US36087,5703,76
4/6/2020,Saratoga,0500000US36091,153,1
4/6/2020,Schenectady,0500000US36093,138,7
4/6/2020,Schoharie,0500000US36095,11,0
4/6/2020,Schuyler,0500000US36097,4,0
4/6/2020,Seneca,0500000US36099,9,0
4/6/2020,St. Lawrence,0500000US36089,63,0
4/6/2020,Steuben,0500000US36101,73,4
4/6/2020,Suffolk,0500000US36103,14473,237
4/6/2020,Sullivan,0500000US36105,259,7
4/6/2020,Tioga,0500000US36107,9,0
4/6/2020,Tompkins,0500000US36109,98,0
4/6/2020,Ulster,0500000US36111,382,4
4/6/2020,Unknown,0500000US,2091,728
4/6/2020,Warren,0500000US36113,26,1
4/6/2020,Washington,0500000US36115,19,1
4/6/2020,Wayne,0500000US36117,34,0
4/6/2020,Westchester,0500000US36119,14293,253
4/6/2020,Wyoming,0500000US36121,23,1
4/6/2020,Yates,0500000US36123,2,0
4/7/2020,Albany,0500000US36001,333,9
4/7/2020,Allegany,0500000US36003,17,1
4/7/2020,Broome,0500000US36007,86,5
4/7/2020,Cattaraugus,0500000US36009,13,0
4/7/2020,Cayuga,0500000US36011,14,1
4/7/2020,Chautauqua,0500000US36013,16,0
4/7/2020,Chemung,0500000US36015,49,0
4/7/2020,Chenango,0500000US36017,51,0
4/7/2020,Clinton,0500000US36019,37,0
4/7/2020,Columbia,0500000US36021,72,3
4/7/2020,Cortland,0500000US36023,16,0
4/7/2020,Delaware,0500000US36025,36,1
4/7/2020,Dutchess,0500000US36027,1249,15
4/7/2020,Erie,0500000US36029,1163,36
4/7/2020,Essex,0500000US36031,7,0
4/7/2020,Franklin,0500000US36033,10,0
4/7/2020,Fulton,0500000US36035,13,0
4/7/2020,Genesee,0500000US36037,33,1
4/7/2020,Greene,0500000US36039,24,0
4/7/2020,Hamilton,0500000US36041,2,0
4/7/2020,Herkimer,0500000US36043,32,3
4/7/2020,Jefferson,0500000US36045,39,0
4/7/2020,Lewis,0500000US36049,8,0
4/7/2020,Livingston,0500000US36051,28,1
4/7/2020,Madison,0500000US36053,92,2
4/7/2020,Monroe,0500000US36055,596,31
4/7/2020,Montgomery,0500000US36057,18,1
4/7/2020,Nassau,0500000US36059,16610,620
4/7/2020,New York City,0500000US,76876,4009
4/7/2020,Niagara,0500000US36063,143,0
4/7/2020,Oneida,0500000US36065,118,2
4/7/2020,Onondaga,0500000US36067,377,7
4/7/2020,Ontario,0500000US36069,39,0
4/7/2020,Orange,0500000US36071,3599,76
4/7/2020,Orleans,0500000US36073,15,0
4/7/2020,Oswego,0500000US36075,34,2
4/7/2020,Otsego,0500000US36077,34,2
4/7/2020,Putnam,0500000US36079,366,13
4/7/2020,Rensselaer,0500000US36083,91,3
4/7/2020,Rockland,0500000US36087,5990,119
4/7/2020,Saratoga,0500000US36091,163,3
4/7/2020,Schenectady,0500000US36093,145,8
4/7/2020,Schoharie,0500000US36095,12,0
4/7/2020,Schuyler,0500000US36097,4,0
4/7/2020,Seneca,0500000US36099,10,0
4/7/2020,St. Lawrence,0500000US36089,63,0
4/7/2020,Steuben,0500000US36101,79,4
4/7/2020,Suffolk,0500000US36103,15561,266
4/7/2020,Sullivan,0500000US36105,270,7
4/7/2020,Tioga,0500000US36107,10,0
4/7/2020,Tompkins,0500000US36109,102,0
4/7/2020,Ulster,0500000US36111,402,5
4/7/2020,Warren,0500000US36113,31,1
4/7/2020,Washington,0500000US36115,19,1
4/7/2020,Wayne,0500000US36117,35,0
4/7/2020,Westchester,0500000US36119,14804,304
4/7/2020,Wyoming,0500000US36121,23,1
4/7/2020,Yates,0500000US36123,2,0
4/8/2020,Albany,0500000US36001,342,10
4/8/2020,Allegany,0500000US36003,21,0
4/8/2020,Broome,0500000US36007,88,6
4/8/2020,Cattaraugus,0500000US36009,15,0
4/8/2020,Cayuga,0500000US36011,15,1
4/8/2020,Chautauqua,0500000US36013,17,1
4/8/2020,Chemung,0500000US36015,55,1
4/8/2020,Chenango,0500000US36017,53,0
4/8/2020,Clinton,0500000US36019,39,0
4/8/2020,Columbia,0500000US36021,72,4
4/8/2020,Cortland,0500000US36023,16,0
4/8/2020,Delaware,0500000US36025,37,0
4/8/2020,Dutchess,0500000US36027,1395,16
4/8/2020,Erie,0500000US36029,1205,38
4/8/2020,Essex,0500000US36031,7,0
4/8/2020,Franklin,0500000US36033,10,0
4/8/2020,Fulton,0500000US36035,14,0
4/8/2020,Genesee,0500000US36037,47,0
4/8/2020,Greene,0500000US36039,25,0
4/8/2020,Hamilton,0500000US36041,2,0
4/8/2020,Herkimer,0500000US36043,32,1
4/8/2020,Jefferson,0500000US36045,40,0
4/8/2020,Lewis,0500000US36049,8,0
4/8/2020,Livingston,0500000US36051,28,0
4/8/2020,Madison,0500000US36053,92,1
4/8/2020,Monroe,0500000US36055,651,27
4/8/2020,Montgomery,0500000US36057,18,1
4/8/2020,Nassau,0500000US36059,18548,701
4/8/2020,New York City,0500000US,81803,4571
4/8/2020,Niagara,0500000US36063,143,0
4/8/2020,Oneida,0500000US36065,125,2
4/8/2020,Onondaga,0500000US36067,377,9
4/8/2020,Ontario,0500000US36069,39,0
4/8/2020,Orange,0500000US36071,3865,68
4/8/2020,Orleans,0500000US36073,16,0
4/8/2020,Oswego,0500000US36075,34,0
4/8/2020,Otsego,0500000US36077,38,2
4/8/2020,Putnam,0500000US36079,403,15
4/8/2020,Rensselaer,0500000US36083,91,1
4/8/2020,Rockland,0500000US36087,6413,98
4/8/2020,Saratoga,0500000US36091,167,1
4/8/2020,Schenectady,0500000US36093,149,9
4/8/2020,Schoharie,0500000US36095,12,0
4/8/2020,Schuyler,0500000US36097,4,0
4/8/2020,Seneca,0500000US36099,12,0
4/8/2020,St. Lawrence,0500000US36089,69,0
4/8/2020,Steuben,0500000US36101,82,3
4/8/2020,Suffolk,0500000US36103,15844,328
4/8/2020,Sullivan,0500000US36105,279,7
4/8/2020,Tioga,0500000US36107,12,0
4/8/2020,Tompkins,0500000US36109,102,0
4/8/2020,Ulster,0500000US36111,422,2
4/8/2020,Warren,0500000US36113,33,1
4/8/2020,Washington,0500000US36115,20,0
4/8/2020,Wayne,0500000US36117,39,0
4/8/2020,Westchester,0500000US36119,15887,343
4/8/2020,Wyoming,0500000US36121,27,0
4/8/2020,Yates,0500000US36123,2,0
4/9/2020,Albany,0500000US36001,379,12
4/9/2020,Allegany,0500000US36003,22,0
4/9/2020,Broome,0500000US36007,105,6
4/9/2020,Cattaraugus,0500000US36009,17,0
4/9/2020,Cayuga,0500000US36011,16,1
4/9/2020,Chautauqua,0500000US36013,18,1
4/9/2020,Chemung,0500000US36015,59,2
4/9/2020,Chenango,0500000US36017,55,0
4/9/2020,Clinton,0500000US36019,40,0
4/9/2020,Columbia,0500000US36021,70,4
4/9/2020,Cortland,0500000US36023,16,0
4/9/2020,Delaware,0500000US36025,37,0
4/9/2020,Dutchess,0500000US36027,1493,21
4/9/2020,Erie,0500000US36029,1362,46
4/9/2020,Essex,0500000US36031,8,0
4/9/2020,Franklin,0500000US36033,11,0
4/9/2020,Fulton,0500000US36035,15,0
4/9/2020,Genesee,0500000US36037,56,0
4/9/2020,Greene,0500000US36039,28,0
4/9/2020,Hamilton,0500000US36041,3,0
4/9/2020,Herkimer,0500000US36043,32,1
4/9/2020,Jefferson,0500000US36045,42,0
4/9/2020,Lewis,0500000US36049,6,0
4/9/2020,Livingston,0500000US36051,26,1
4/9/2020,Madison,0500000US36053,91,1
4/9/2020,Monroe,0500000US36055,698,31
4/9/2020,Montgomery,0500000US36057,28,1
4/9/2020,Nassau,0500000US36059,20140,778
4/9/2020,New York City,0500000US,87028,5150
4/9/2020,Niagara,0500000US36063,146,0
4/9/2020,Oneida,0500000US36065,158,2
4/9/2020,Onondaga,0500000US36067,358,10
4/9/2020,Ontario,0500000US36069,43,0
4/9/2020,Orange,0500000US36071,4090,79
4/9/2020,Orleans,0500000US36073,22,0
4/9/2020,Oswego,0500000US36075,36,0
4/9/2020,Otsego,0500000US36077,39,2
4/9/2020,Putnam,0500000US36079,438,16
4/9/2020,Rensselaer,0500000US36083,79,3
4/9/2020,Rockland,0500000US36087,6665,117
4/9/2020,Saratoga,0500000US36091,172,1
4/9/2020,Schenectady,0500000US36093,167,9
4/9/2020,Schoharie,0500000US36095,12,0
4/9/2020,Schuyler,0500000US36097,4,0
4/9/2020,Seneca,0500000US36099,15,0
4/9/2020,St. Lawrence,0500000US36089,76,1
4/9/2020,Steuben,0500000US36101,89,3
4/9/2020,Suffolk,0500000US36103,17413,369
4/9/2020,Sullivan,0500000US36105,294,7
4/9/2020,Tioga,0500000US36107,17,0
4/9/2020,Tompkins,0500000US36109,105,0
4/9/2020,Ulster,0500000US36111,460,2
4/9/2020,Warren,0500000US36113,40,1
4/9/2020,Washington,0500000US36115,25,0
4/9/2020,Wayne,0500000US36117,39,0
4/9/2020,Westchester,0500000US36119,17004,389
4/9/2020,Wyoming,0500000US36121,29,0
4/9/2020,Yates,0500000US36123,1,0
4/10/2020,Albany,0500000US36001,426,14
4/10/2020,Allegany,0500000US36003,26,0
4/10/2020,Broome,0500000US36007,112,6
4/10/2020,Cattaraugus,0500000US36009,18,0
4/10/2020,Cayuga,0500000US36011,27,1
4/10/2020,Chautauqua,0500000US36013,20,1
4/10/2020,Chemung,0500000US36015,59,2
4/10/2020,Chenango,0500000US36017,60,0
4/10/2020,Clinton,0500000US36019,43,0
4/10/2020,Columbia,0500000US36021,74,4
4/10/2020,Cortland,0500000US36023,17,0
4/10/2020,Delaware,0500000US36025,39,0
4/10/2020,Dutchess,0500000US36027,1598,25
4/10/2020,Erie,0500000US36029,1409,58
4/10/2020,Essex,0500000US36031,10,0
4/10/2020,Franklin,0500000US36033,11,0
